C1:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
D_1:1
D_10:1
D_11:1
D_12:1
D_13:1
D_14:1
D_15:1
D_16:1
D_17:1
D_18:1
D_19:1
D_2:1
D_20:1
D_21:1
D_22:1
D_23:1
D_24:1
D_25:1
D_26:1
D_27:1
D_28:1
D_29:1
D_3:1
D_30:1
D_31:1
D_32:1
D_33:1
D_34:1
D_35:1
D_36:1
D_37:1
D_38:1
D_39:1
D_4:1
D_40:1
D_41:1
D_42:1
D_43:1
D_44:1
D_5:1
D_6:1
D_7:1
D_8:1
D_9:1
F1:1
K_1:1
K_10:1
K_11:1
K_12:1
K_13:1
K_14:1
K_15:1
K_16:1
K_17:1
K_18:1
K_19:1
K_2:1
K_20:1
K_21:1
K_22:1
K_23:1
K_24:1
K_25:1
K_26:1
K_27:1
K_28:1
K_29:1
K_3:1
K_30:1
K_31:1
K_32:1
K_33:1
K_34:1
K_35:1
K_36:1
K_37:1
K_38:1
K_39:1
K_4:1
K_40:1
K_41:1
K_42:1
K_43:1
K_44:1
K_45:1
K_46:1
K_47:1
K_48:1
K_49:1
K_5:1
K_50:1
K_51:1
K_52:1
K_53:1
K_6:1
K_7:1
K_8:1
K_9:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
SW1:1
U1:1
U2:1
U3:1
USB1:1
Y1:1
